"","names","rating","sex"
"1","'Til There Was You (1997)",NA,"F"
"2","1-900 (1994)",NA,"F"
"3","101 Dalmatians (1996)",3.11627906976744,"F"
"4","12 Angry Men (1957)",4.26923076923077,"F"
"5","187 (1997)",3.5,"F"
"6","2 Days in the Valley (1996)",3.23529411764706,"F"
"7","20,000 Leagues Under the Sea (1954)",3.21428571428571,"F"
"8","2001: A Space Odyssey (1968)",3.49122807017544,"F"
"9","3 Ninjas: High Noon At Mega Mountain (1998)",1,"F"
"10","39 Steps, The (1935)",4,"F"
"11","8 1/2 (1963)",2.8,"F"
"12","8 Heads in a Duffel Bag (1997)",2.5,"F"
"13","8 Seconds (1994)",4,"F"
"14","A Chef in Love (1996)",3.75,"F"
"15","Above the Rim (1994)",NA,"F"
"16","Absolute Power (1997)",3.45161290322581,"F"
"17","Abyss, The (1989)",3.81481481481481,"F"
"18","Ace Ventura: Pet Detective (1994)",3.10526315789474,"F"
"19","Ace Ventura: When Nature Calls (1995)",2.3,"F"
"20","Across the Sea of Time (1995)",2.66666666666667,"F"
"21","Addams Family Values (1993)",3,"F"
"22","Addicted to Love (1997)",3.07407407407407,"F"
"23","Addiction, The (1995)",2,"F"
"24","Adventures of Pinocchio, The (1996)",2.90909090909091,"F"
"25","Adventures of Priscilla, Queen of the Desert, The (1994)",3.65909090909091,"F"
"26","Adventures of Robin Hood, The (1938)",3.64705882352941,"F"
"27","Affair to Remember, An (1957)",4.28571428571429,"F"
"28","African Queen, The (1951)",4,"F"
"29","Afterglow (1997)",2.6,"F"
"30","Age of Innocence, The (1993)",3.51724137931034,"F"
"31","Aiqing wansui (1994)",NA,"F"
"32","Air Bud (1997)",3.45454545454545,"F"
"33","Air Force One (1997)",3.69047619047619,"F"
"34","Air Up There, The (1994)",3.25,"F"
"35","Airheads (1994)",1.42857142857143,"F"
"36","Akira (1988)",3.125,"F"
"37","Aladdin (1992)",3.94915254237288,"F"
"38","Aladdin and the King of Thieves (1996)",3.07692307692308,"F"
"39","Alaska (1996)",3.75,"F"
"40","Albino Alligator (1996)",2,"F"
"41","Alice in Wonderland (1951)",3.74193548387097,"F"
"42","Alien (1979)",3.66071428571429,"F"
"43","Alien 3 (1992)",2.63636363636364,"F"
"44","Alien: Resurrection (1997)",2.875,"F"
"45","Aliens (1986)",3.67272727272727,"F"
"46","All About Eve (1950)",4,"F"
"47","All Dogs Go to Heaven 2 (1996)",2,"F"
"48","All Over Me (1997)",3,"F"
"49","All Things Fair (1996)",NA,"F"
"50","Alphaville (1965)",4,"F"
"51","Amadeus (1984)",4.03896103896104,"F"
"52","Amateur (1994)",3,"F"
"53","Amazing Panda Adventure, The (1995)",3.4,"F"
"54","American Buffalo (1996)",2.5,"F"
"55","American Dream (1990)",2.5,"F"
"56","American in Paris, An (1951)",3.8,"F"
"57","American President, The (1995)",3.74468085106383,"F"
"58","American Strays (1996)",NA,"F"
"59","American Werewolf in London, An (1981)",3.5625,"F"
"60","Amistad (1997)",3.88235294117647,"F"
"61","Amityville 1992: It's About Time (1992)",1,"F"
"62","Amityville 3-D (1983)",1,"F"
"63","Amityville Curse, The (1990)",1,"F"
"64","Amityville Horror, The (1979)",2.6,"F"
"65","Amityville II: The Possession (1982)",2.25,"F"
"66","Amityville: A New Generation (1993)",1,"F"
"67","Amityville: Dollhouse (1996)",1,"F"
"68","Amos & Andrew (1993)",2.66666666666667,"F"
"69","An Unforgettable Summer (1994)",NA,"F"
"70","Anaconda (1997)",2.75,"F"
"71","Anastasia (1997)",3.7037037037037,"F"
"72","Andre (1994)",3.55555555555556,"F"
"73","Angel and the Badman (1947)",3,"F"
"74","Angel Baby (1995)",3.5,"F"
"75","Angel on My Shoulder (1946)",NA,"F"
"76","Angela (1995)",3,"F"
"77","Angels and Insects (1995)",3.58333333333333,"F"
"78","Angels in the Outfield (1994)",3.3125,"F"
"79","Angus (1995)",2.25,"F"
"80","Anna (1996)",NA,"F"
"81","Anna Karenina (1997)",3.4375,"F"
"82","Anne Frank Remembered (1995)",4.33333333333333,"F"
"83","Annie Hall (1977)",4,"F"
"84","Another Stakeout (1993)",2.625,"F"
"85","Antonia's Line (1995)",4.28571428571429,"F"
"86","Aparajito (1956)",1,"F"
"87","Apartment, The (1960)",3.70588235294118,"F"
"88","Apocalypse Now (1979)",3.8974358974359,"F"
"89","Apollo 13 (1995)",4,"F"
"90","Apostle, The (1997)",3.63636363636364,"F"
"91","Apple Dumpling Gang, The (1975)",3,"F"
"92","April Fool's Day (1986)",2.5,"F"
"93","Apt Pupil (1998)",3.90909090909091,"F"
"94","Aristocats, The (1970)",3.34782608695652,"F"
"95","Army of Darkness (1993)",3.15384615384615,"F"
"96","Around the World in 80 Days (1956)",3.5,"F"
"97","Arrival, The (1996)",3.1,"F"
"98","Arsenic and Old Lace (1944)",4.22857142857143,"F"
"99","As Good As It Gets (1997)",4.10714285714286,"F"
"100","Assassins (1995)",3,"F"
"101","Assignment, The (1997)",3,"F"
"102","Associate, The (1996)",3.92307692307692,"F"
"103","Audrey Rose (1977)",2,"F"
"104","August (1996)",NA,"F"
"105","Austin Powers: International Man of Mystery (1997)",3,"F"
"106","Awfully Big Adventure, An (1995)",3,"F"
"107","Ayn Rand: A Sense of Life (1997)",4,"F"
"108","B. Monkey (1998)",NA,"F"
"109","B*A*P*S (1997)",1,"F"
"110","Babe (1995)",4.05,"F"
"111","Baby-Sitters Club, The (1995)",2.5,"F"
"112","Babyfever (1994)",1,"F"
"113","Babysitter, The (1995)",3,"F"
"114","Back to the Future (1985)",3.76666666666667,"F"
"115","Backbeat (1993)",4.25,"F"
"116","Bad Boys (1995)",2.875,"F"
"117","Bad Company (1995)",1,"F"
"118","Bad Girls (1994)",2,"F"
"119","Bad Moon (1996)",3,"F"
"120","Bad Taste (1987)",2.33333333333333,"F"
"121","Ballad of Narayama, The (Narayama Bushiko) (1958)",NA,"F"
"122","Balto (1995)",3.22222222222222,"F"
"123","Bananas (1971)",3.71428571428571,"F"
"124","Band Wagon, The (1953)",4.5,"F"
"125","Barb Wire (1996)",2,"F"
"126","Barbarella (1968)",1.8,"F"
"127","Barcelona (1994)",2.61111111111111,"F"
"128","Basic Instinct (1992)",3.36363636363636,"F"
"129","Basketball Diaries, The (1995)",3.54545454545455,"F"
"130","Basquiat (1996)",2.5,"F"
"131","Bastard Out of Carolina (1996)",3,"F"
"132","Batman (1989)",3.48780487804878,"F"
"133","Batman & Robin (1997)",2.75,"F"
"134","Batman Forever (1995)",3.17391304347826,"F"
"135","Batman Returns (1992)",2.88,"F"
"136","Baton Rouge (1988)",1,"F"
"137","Bean (1997)",2.77777777777778,"F"
"138","Beans of Egypt, Maine, The (1994)",NA,"F"
"139","Beat the Devil (1954)",NA,"F"
"140","Beautician and the Beast, The (1997)",2.64516129032258,"F"
"141","Beautiful Girls (1996)",3.34210526315789,"F"
"142","Beautiful Thing (1996)",3.4,"F"
"143","Beauty and the Beast (1991)",3.9344262295082,"F"
"144","Beavis and Butt-head Do America (1996)",2.31034482758621,"F"
"145","Bed of Roses (1996)",3.52777777777778,"F"
"146","Bedknobs and Broomsticks (1971)",3.24,"F"
"147","Before and After (1996)",3,"F"
"148","Before Sunrise (1995)",3.22222222222222,"F"
"149","Before the Rain (Pred dozhdot) (1994)",2.66666666666667,"F"
"150","Being Human (1993)",1.66666666666667,"F"
"151","Being There (1979)",3.80769230769231,"F"
"152","Believers, The (1987)",2.16666666666667,"F"
"153","Belle de jour (1967)",3.71428571428571,"F"
"154","Ben-Hur (1959)",3.4,"F"
"155","Benny & Joon (1993)",3.43243243243243,"F"
"156","Bent (1997)",3.5,"F"
"157","Best Men (1997)",3.5,"F"
"158","Best of the Best 3: No Turning Back (1995)",1,"F"
"159","Better Off Dead... (1985)",3.5,"F"
"160","Beverly Hillbillies, The (1993)",2.5,"F"
"161","Beverly Hills Cop III (1994)",2.44444444444444,"F"
"162","Beverly Hills Ninja (1997)",1.85714285714286,"F"
"163","Bewegte Mann, Der (1994)",NA,"F"
"164","Beyond Bedlam (1993)",1,"F"
"165","Beyond Rangoon (1995)",2.6,"F"
"166","Bhaji on the Beach (1993)",2.75,"F"
"167","Big Bang Theory, The (1994)",NA,"F"
"168","Big Blue, The (Grand bleu, Le) (1988)",1,"F"
"169","Big Bully (1996)",1.4,"F"
"170","Big Green, The (1995)",2.83333333333333,"F"
"171","Big Lebowski, The (1998)",3.76923076923077,"F"
"172","Big Night (1996)",3.66666666666667,"F"
"173","Big One, The (1997)",3,"F"
"174","Big Sleep, The (1946)",3.47619047619048,"F"
"175","Big Squeeze, The (1996)",3,"F"
"176","Billy Madison (1995)",3,"F"
"177","Bio-Dome (1996)",2.375,"F"
"178","Bird of Prey (1996)",NA,"F"
"179","Birdcage, The (1996)",3.67045454545455,"F"
"180","Birds, The (1963)",3.76744186046512,"F"
"181","Bitter Moon (1992)",2,"F"
"182","Bitter Sugar (Azucar Amargo) (1996)",4,"F"
"183","Black Beauty (1994)",3.33333333333333,"F"
"184","Black Sheep (1996)",2.15384615384615,"F"
"185","Blade Runner (1982)",3.97916666666667,"F"
"186","Blink (1994)",2.8,"F"
"187","Bliss (1997)",2,"F"
"188","Blob, The (1958)",2.55555555555556,"F"
"189","Blood & Wine (1997)",2.5,"F"
"190","Blood Beach (1981)",2.33333333333333,"F"
"191","Blood For Dracula (Andy Warhol's Dracula) (1974)",1,"F"
"192","Bloodsport 2 (1995)",1,"F"
"193","Bloody Child, The (1996)",NA,"F"
"194","Blown Away (1994)",2,"F"
"195","Blue Angel, The (Blaue Engel, Der) (1930)",3,"F"
"196","Blue Chips (1994)",3,"F"
"197","Blue in the Face (1995)",2.7,"F"
"198","Blue Sky (1994)",3.75,"F"
"199","Blues Brothers 2000 (1998)",2.11111111111111,"F"
"200","Blues Brothers, The (1980)",3.78260869565217,"F"
"201","Bob Roberts (1992)",3.85,"F"
"202","Body Parts (1991)",1.25,"F"
"203","Body Snatcher, The (1945)",3.42857142857143,"F"
"204","Body Snatchers (1993)",2.57142857142857,"F"
"205","Bogus (1996)",2.75,"F"
"206","Bonheur, Le (1965)",2,"F"
"207","Bonnie and Clyde (1967)",3.96774193548387,"F"
"208","Boogie Nights (1997)",3.46511627906977,"F"
"209","Boomerang (1992)",3.11111111111111,"F"
"210","Boot, Das (1981)",4.1,"F"
"211","Booty Call (1997)",2.08333333333333,"F"
"212","Bottle Rocket (1996)",3,"F"
"213","Bound (1996)",3.6,"F"
"214","Boxing Helena (1993)",2,"F"
"215","Boy's Life 2 (1997)",1.5,"F"
"216","Boys (1996)",4,"F"
"217","Boys in Venice (1996)",1,"F"
"218","Boys Life (1995)",3.5,"F"
"219","Boys of St. Vincent, The (1993)",3.2,"F"
"220","Boys on the Side (1995)",3.30434782608696,"F"
"221","Boys, Les (1997)",NA,"F"
"222","Brady Bunch Movie, The (1995)",3.125,"F"
"223","Braindead (1992)",3,"F"
"224","Bram Stoker's Dracula (1992)",3.14285714285714,"F"
"225","Brassed Off (1996)",4.1,"F"
"226","Braveheart (1995)",4.12698412698413,"F"
"227","Brazil (1985)",3.61764705882353,"F"
"228","Bread and Chocolate (Pane e cioccolata) (1973)",2,"F"
"229","Breakdown (1997)",3.4,"F"
"230","Breakfast at Tiffany's (1961)",4.08823529411765,"F"
"231","Breaking the Waves (1996)",4,"F"
"232","Bride of Frankenstein (1935)",3.66666666666667,"F"
"233","Bridge on the River Kwai, The (1957)",3.68571428571429,"F"
"234","Bridges of Madison County, The (1995)",3.19230769230769,"F"
"235","Bringing Up Baby (1938)",3.71428571428571,"F"
"236","Broken Arrow (1996)",3.21153846153846,"F"
"237","Broken English (1996)",2.66666666666667,"F"
"238","Bronx Tale, A (1993)",3.71428571428571,"F"
"239","Brother Minister: The Assassination of Malcolm X (1994)",3,"F"
"240","Brother's Kiss, A (1997)",2,"F"
"241","Brothers in Trouble (1995)",4,"F"
"242","Brothers McMullen, The (1995)",3.23076923076923,"F"
"243","Browning Version, The (1994)",2.25,"F"
"244","Buddy (1997)",3,"F"
"245","Bulletproof (1996)",3.83333333333333,"F"
"246","Bullets Over Broadway (1994)",3.73913043478261,"F"
"247","Burnt By the Sun (1994)",3.11111111111111,"F"
"248","Burnt Offerings (1976)",2.75,"F"
"249","Bushwhacked (1995)",1,"F"
"250","Butch Cassidy and the Sundance Kid (1969)",3.8695652173913,"F"
"251","Butcher Boy, The (1998)",4,"F"
"252","Butterfly Kiss (1995)",NA,"F"
"253","Bye Bye, Love (1995)",3,"F"
"254","C'est arrivé près de chez vous (1992)",1,"F"
"255","Cabin Boy (1994)",3.33333333333333,"F"
"256","Cable Guy, The (1996)",2.03703703703704,"F"
"257","Calendar Girl (1993)",1.5,"F"
"258","Canadian Bacon (1994)",2.5,"F"
"259","Candidate, The (1972)",3.33333333333333,"F"
"260","Candyman (1992)",3.23076923076923,"F"
"261","Candyman: Farewell to the Flesh (1995)",1.66666666666667,"F"
"262","Cape Fear (1962)",3.44,"F"
"263","Cape Fear (1991)",3.41666666666667,"F"
"264","Captives (1994)",NA,"F"
"265","Career Girls (1997)",3.11111111111111,"F"
"266","Careful (1992)",1,"F"
