"","movienames","rating","wrating","mrating","wmedian","mmedian","times"
"1","'Til There Was You (1997)",2.33333333333333,2.5,2.2,4,NA,18
"2","1-900 (1994)",2.6,3,1,NA,4,5
"3","101 Dalmatians (1996)",2.90825688073395,2.77272727272727,3.11627906976744,3,3,218
"4","12 Angry Men (1957)",4.344,4.36363636363636,4.26923076923077,4,4.5,125
"5","187 (1997)",3.02439024390244,2.87096774193548,3.5,3.5,2,41
"6","2 Days in the Valley (1996)",3.2258064516129,3.22368421052632,3.23529411764706,4,3,93
"7","20,000 Leagues Under the Sea (1954)",3.5,3.56896551724138,3.21428571428571,3,4,288
"8","2001: A Space Odyssey (1968)",3.96911196911197,4.1039603960396,3.49122807017544,4,4,1036
"9","3 Ninjas: High Noon At Mega Mountain (1998)",1,1,1,1,1,10
"10","39 Steps, The (1935)",4.05084745762712,4.06,4,4,4,59
"11","8 1/2 (1963)",3.81578947368421,3.96969696969697,2.8,3,4,38
"12","8 Heads in a Duffel Bag (1997)",3.25,4,2.5,1,NA,4
"13","8 Seconds (1994)",3.75,3.66666666666667,4,4,4,4
"14","A Chef in Love (1996)",4.125,4.5,3.75,4,4.5,8
"15","Above the Rim (1994)",3,3,NA,NA,3,5
"16","Absolute Power (1997)",3.37007874015748,3.34375,3.45161290322581,3.5,3,254
"17","Abyss, The (1989)",3.58940397350993,3.54032258064516,3.81481481481481,4,4,604
"18","Ace Ventura: Pet Detective (1994)",3.04854368932039,3.03571428571429,3.10526315789474,3.5,3,103
"19","Ace Ventura: When Nature Calls (1995)",2.67567567567568,2.81481481481481,2.3,2,3,37
"20","Across the Sea of Time (1995)",2.75,3,2.66666666666667,4,3,4
"21","Addams Family Values (1993)",2.81609195402299,2.75757575757576,3,3,3,87
"22","Addicted to Love (1997)",3.16666666666667,3.25925925925926,3.07407407407407,2,4,108
"23","Addiction, The (1995)",2.18181818181818,2.22222222222222,2,NA,1,11
"24","Adventures of Pinocchio, The (1996)",3.05128205128205,3.10714285714286,2.90909090909091,3,3,78
"25","Adventures of Priscilla, Queen of the Desert, The (1994)",3.59459459459459,3.55223880597015,3.65909090909091,4,4,222
"26","Adventures of Robin Hood, The (1938)",3.7910447761194,3.84,3.64705882352941,4,4,134
"27","Affair to Remember, An (1957)",4.19230769230769,4.08333333333333,4.28571428571429,4,4,26
"28","African Queen, The (1951)",4.18421052631579,4.24561403508772,4,4,4,608
"29","Afterglow (1997)",3.11111111111111,3.30769230769231,2.6,3,3.5,36
"30","Age of Innocence, The (1993)",3.38461538461538,3.27777777777778,3.51724137931034,4,4,65
"31","Aiqing wansui (1994)",5,5,NA,NA,5,1
"32","Air Bud (1997)",2.55813953488372,2.25,3.45454545454545,4,3,86
"33","Air Force One (1997)",3.63109048723898,3.60655737704918,3.69047619047619,4,4,862
"34","Air Up There, The (1994)",2.8125,2.66666666666667,3.25,3.5,3,16
"35","Airheads (1994)",2.34375,2.6,1.42857142857143,1,3,32
"36","Akira (1988)",3.38,3.42857142857143,3.125,2,4,200
"37","Aladdin (1992)",3.81278538812785,3.7625,3.94915254237288,4,4,876
"38","Aladdin and the King of Thieves (1996)",2.84615384615385,2.61538461538462,3.07692307692308,4,2,78
"39","Alaska (1996)",2.69230769230769,2.22222222222222,3.75,4,3,26
"40","Albino Alligator (1996)",2.5,3,2,1,NA,12
"41","Alice in Wonderland (1951)",3.66666666666667,3.62,3.74193548387097,3,4,243
"42","Alien (1979)",4.03436426116838,4.12340425531915,3.66071428571429,4,4,1164
"43","Alien 3 (1992)",2.83,2.85393258426966,2.63636363636364,3,2.5,400
"44","Alien: Resurrection (1997)",3.09677419354839,3.15,2.875,2.5,3,372
"45","Aliens (1986)",3.94718309859155,4.01310043668122,3.67272727272727,4,4,1136
"46","All About Eve (1950)",4.04545454545455,4.06666666666667,4,4.5,4,66
"47","All Dogs Go to Heaven 2 (1996)",1.86666666666667,1.81818181818182,2,1,2,45
"48","All Over Me (1997)",3,3,3,3,3,3
"49","All Things Fair (1996)",3,3,NA,NA,3,1
"50","Alphaville (1965)",3.33333333333333,3.2,4,3,3,12
"51","Amadeus (1984)",4.16304347826087,4.21105527638191,4.03896103896104,4,4,552
"52","Amateur (1994)",3.16666666666667,3.23076923076923,3,5,2,54
"53","Amazing Panda Adventure, The (1995)",2.8,2.2,3.4,4,1.5,20
"54","American Buffalo (1996)",2.63636363636364,2.66666666666667,2.5,3,2,11
"55","American Dream (1990)",2.5,NA,2.5,4,NA,2
"56","American in Paris, An (1951)",3.7,3.65714285714286,3.8,4,4,100
"57","American President, The (1995)",3.6280487804878,3.58119658119658,3.74468085106383,4,4,492
"58","American Strays (1996)",2,2,NA,NA,3,2
"59","American Werewolf in London, An (1981)",3.53535353535354,3.53012048192771,3.5625,3.5,4,99
"60","Amistad (1997)",3.85483870967742,3.84444444444444,3.88235294117647,4.5,4,124
"61","Amityville 1992: It's About Time (1992)",1,1,1,1,1,5
"62","Amityville 3-D (1983)",1.16666666666667,1.25,1,1,1,6
"63","Amityville Curse, The (1990)",1.25,1.5,1,1,1,4
"64","Amityville Horror, The (1979)",2.56603773584906,2.55813953488372,2.6,1,2,53
"65","Amityville II: The Possession (1982)",1.64285714285714,1.4,2.25,2,1,14
"66","Amityville: A New Generation (1993)",1,1,1,1,1,5
"67","Amityville: Dollhouse (1996)",1,1,1,NA,1,3
"68","Amos & Andrew (1993)",2.68421052631579,2.6875,2.66666666666667,NA,2,19
"69","An Unforgettable Summer (1994)",2.5,2.5,NA,NA,3,4
"70","Anaconda (1997)",2.28947368421053,2.16666666666667,2.75,2,2,114
"71","Anastasia (1997)",3.42424242424242,3.23076923076923,3.7037037037037,4,3,198
"72","Andre (1994)",3.11111111111111,2.66666666666667,3.55555555555556,4,2.5,36
"73","Angel and the Badman (1947)",3,3,3,3,3,6
"74","Angel Baby (1995)",3.75,4,3.5,5,4,4
"75","Angel on My Shoulder (1946)",2,2,NA,NA,2,2
"76","Angela (1995)",3,NA,3,3,NA,1
"77","Angels and Insects (1995)",3.41666666666667,3.33333333333333,3.58333333333333,4,4,144
"78","Angels in the Outfield (1994)",2.92307692307692,2.65217391304348,3.3125,3,3,78
"79","Angus (1995)",2.64285714285714,2.8,2.25,3,3,14
"80","Anna (1996)",4.5,4.5,NA,NA,5,2
"81","Anna Karenina (1997)",3.09090909090909,2.76470588235294,3.4375,4,3,66
"82","Anne Frank Remembered (1995)",3.85714285714286,3.5,4.33333333333333,4,3.5,21
"83","Annie Hall (1977)",3.91111111111111,3.88235294117647,4,4,4,360
"84","Another Stakeout (1993)",2.5,2.45,2.625,2.5,3,56
"85","Antonia's Line (1995)",3.95652173913043,3.73170731707317,4.28571428571429,4.5,4,69
"86","Aparajito (1956)",3.57142857142857,4,1,NA,5,7
"87","Apartment, The (1960)",3.93650793650794,4.02173913043478,3.70588235294118,4,4,126
"88","Apocalypse Now (1979)",4.04524886877828,4.07692307692308,3.8974358974359,4,4,442
"89","Apollo 13 (1995)",3.93115942028985,3.90995260663507,4,4,4,828
"90","Apostle, The (1997)",3.65454545454545,3.65909090909091,3.63636363636364,3,4,55
"91","Apple Dumpling Gang, The (1975)",2.84,2.75,3,3,3,75
"92","April Fool's Day (1986)",2.66666666666667,2.72727272727273,2.5,2,3,30
"93","Apt Pupil (1998)",4.1,4.17241379310345,3.90909090909091,4,4,320
"94","Aristocats, The (1970)",3.12962962962963,2.96774193548387,3.34782608695652,4,3,108
"95","Army of Darkness (1993)",3.43103448275862,3.46601941747573,3.15384615384615,3,3,580
"96","Around the World in 80 Days (1956)",3.66101694915254,3.68627450980392,3.5,4,4,118
"97","Arrival, The (1996)",3.03614457831325,3.02739726027397,3.1,3,4,249
"98","Arsenic and Old Lace (1944)",4.07826086956522,4.0125,4.22857142857143,4,4,345
"99","As Good As It Gets (1997)",4.19642857142857,4.22619047619048,4.10714285714286,4,4,224
"100","Assassins (1995)",2.87179487179487,2.84848484848485,3,3,3,39
"101","Assignment, The (1997)",3.5,3.75,3,3,4,18
"102","Associate, The (1996)",3.24390243902439,2.92857142857143,3.92307692307692,4,4,41
"103","Audrey Rose (1977)",2.16666666666667,2.22222222222222,2,3,2,12
"104","August (1996)",1,1,NA,NA,NA,1
"105","Austin Powers: International Man of Mystery (1997)",3.24615384615385,3.31683168316832,3,2,3,130
"106","Awfully Big Adventure, An (1995)",2.375,1.75,3,4,2.5,8
"107","Ayn Rand: A Sense of Life (1997)",3.14285714285714,3,4,4,4,7
"108","B. Monkey (1998)",3,3,NA,NA,NA,2
"109","B*A*P*S (1997)",1.66666666666667,2,1,NA,3,3
"110","Babe (1995)",3.99543378995434,3.9748427672956,4.05,4,4,657
"111","Baby-Sitters Club, The (1995)",2.5,2.5,2.5,3,3,10
"112","Babyfever (1994)",1,1,1,NA,1,4
"113","Babysitter, The (1995)",2.33333333333333,1,3,3,NA,6
"114","Back to the Future (1985)",3.83428571428571,3.85769230769231,3.76666666666667,4,4,700
"115","Backbeat (1993)",3.47368421052632,3.26666666666667,4.25,4,4,38
"116","Bad Boys (1995)",3.10526315789474,3.14285714285714,2.875,3.5,4,57
"117","Bad Company (1995)",2.22222222222222,2.375,1,NA,2,9
"118","Bad Girls (1994)",1.83333333333333,1.66666666666667,2,NA,1.5,6
"119","Bad Moon (1996)",2.66666666666667,2.6,3,NA,2.5,6
"120","Bad Taste (1987)",3.375,3.61538461538462,2.33333333333333,NA,4,32
"121","Ballad of Narayama, The (Narayama Bushiko) (1958)",2.75,2.75,NA,NA,3,4
"122","Balto (1995)",3,2.71428571428571,3.22222222222222,3.5,3,32
"123","Bananas (1971)",3.70175438596491,3.7,3.71428571428571,4,4,114
"124","Band Wagon, The (1953)",3.66666666666667,3.42857142857143,4.5,4.5,3,18
"125","Barb Wire (1996)",1.93333333333333,1.93103448275862,2,NA,2,60
"126","Barbarella (1968)",2.57142857142857,2.73913043478261,1.8,1,3,56
"127","Barcelona (1994)",3.0188679245283,3.22857142857143,2.61111111111111,3,3,106
"128","Basic Instinct (1992)",3.22772277227723,3.18987341772152,3.36363636363636,3.5,3,202
"129","Basketball Diaries, The (1995)",3.425,3.37931034482759,3.54545454545455,4,3,40
"130","Basquiat (1996)",3.25,3.325,2.5,3.5,3,44
"131","Bastard Out of Carolina (1996)",2.875,2.8,3,3,3,16
"132","Batman (1989)",3.42786069651741,3.4125,3.48780487804878,4,3,804
"133","Batman & Robin (1997)",2.45161290322581,2.30952380952381,2.75,3,2,186
"134","Batman Forever (1995)",2.66666666666667,2.53846153846154,3.17391304347826,3,2,456
"135","Batman Returns (1992)",2.6830985915493,2.64102564102564,2.88,2,3,568
"136","Baton Rouge (1988)",1,NA,1,NA,NA,1
"137","Bean (1997)",2.65934065934066,2.63013698630137,2.77777777777778,3,2,91
"138","Beans of Egypt, Maine, The (1994)",3.5,3.5,NA,NA,4,2
"139","Beat the Devil (1954)",3.71428571428571,3.71428571428571,NA,NA,4,14
"140","Beautician and the Beast, The (1997)",2.31395348837209,2.12727272727273,2.64516129032258,3,2,172
"141","Beautiful Girls (1996)",3.39130434782609,3.41558441558442,3.34210526315789,3,3,115
"142","Beautiful Thing (1996)",3.96551724137931,4.08333333333333,3.4,3,4,58
"143","Beauty and the Beast (1991)",3.79207920792079,3.73049645390071,3.9344262295082,4,4,606
"144","Beavis and Butt-head Do America (1996)",2.78846153846154,2.89763779527559,2.31034482758621,2,2,312
"145","Bed of Roses (1996)",3.23333333333333,2.79166666666667,3.52777777777778,4,2,120
"146","Bedknobs and Broomsticks (1971)",3.07017543859649,2.9375,3.24,3,3,171
"147","Before and After (1996)",2.84615384615385,2.73333333333333,3,3,3,52
"148","Before Sunrise (1995)",3.40816326530612,3.51612903225806,3.22222222222222,3.5,4,98
"149","Before the Rain (Pred dozhdot) (1994)",3.8,4.28571428571429,2.66666666666667,3.5,4,10
"150","Being Human (1993)",1.75,2,1.66666666666667,2,NA,4
"151","Being There (1979)",3.9051724137931,3.93333333333333,3.80769230769231,4,4,116
"152","Believers, The (1987)",2.25,2.3,2.16666666666667,3,2.5,32
"153","Belle de jour (1967)",3.94594594594595,4,3.71428571428571,4,4,37
"154","Ben-Hur (1959)",3.83064516129032,3.96808510638298,3.4,3,4,372
"155","Benny & Joon (1993)",3.46078431372549,3.47692307692308,3.43243243243243,3,3,204
"156","Bent (1997)",2.66666666666667,2.25,3.5,5,2,12
"157","Best Men (1997)",3.4,3.33333333333333,3.5,5,4,20
"158","Best of the Best 3: No Turning Back (1995)",1.5,1.6,1,NA,1,6
"159","Better Off Dead... (1985)",3.56962025316456,3.59016393442623,3.5,2.5,3,79
"160","Beverly Hillbillies, The (1993)",2.25,2.08333333333333,2.5,2,2,20
"161","Beverly Hills Cop III (1994)",2.39285714285714,2.36842105263158,2.44444444444444,2,3,56
"162","Beverly Hills Ninja (1997)",2.3125,2.39024390243902,1.85714285714286,1,1,96
"163","Bewegte Mann, Der (1994)",3.66666666666667,3.66666666666667,NA,NA,3,3
"164","Beyond Bedlam (1993)",1,1,1,NA,1,4
"165","Beyond Rangoon (1995)",3.05555555555556,3.23076923076923,2.6,4,3,18
"166","Bhaji on the Beach (1993)",2.875,3,2.75,3,3,16
"167","Big Bang Theory, The (1994)",4,4,NA,NA,4,1
"168","Big Blue, The (Grand bleu, Le) (1988)",3.23529411764706,3.375,1,NA,4,34
"169","Big Bully (1996)",1.85714285714286,2.11111111111111,1.4,1,2.5,28
"170","Big Green, The (1995)",2.5,2.25,2.83333333333333,3,3,28
"171","Big Lebowski, The (1998)",3.83333333333333,3.86206896551724,3.76923076923077,5,4,168
"172","Big Night (1996)",3.90058479532164,3.97674418604651,3.66666666666667,4,4,171
"173","Big One, The (1997)",3,NA,3,3,NA,2
"174","Big Sleep, The (1946)",4.02739726027397,4.25,3.47619047619048,4,5,146
"175","Big Squeeze, The (1996)",2.25,2,3,NA,2.5,8
"176","Billy Madison (1995)",3.08108108108108,3.09677419354839,3,NA,2.5,37
"177","Bio-Dome (1996)",1.90322580645161,1.73913043478261,2.375,1,1.5,31
"178","Bird of Prey (1996)",1,1,NA,NA,NA,1
"179","Birdcage, The (1996)",3.44368600682594,3.34634146341463,3.67045454545455,4,3,293
"180","Birds, The (1963)",3.80864197530864,3.82352941176471,3.76744186046512,4,4,162
"181","Bitter Moon (1992)",3.3,3.85714285714286,2,2.5,4,10
"182","Bitter Sugar (Azucar Amargo) (1996)",4.33333333333333,4.5,4,4,4.5,3
"183","Black Beauty (1994)",3.44444444444444,3.5,3.33333333333333,4,3,54
"184","Black Sheep (1996)",2.63636363636364,2.78571428571429,2.15384615384615,1,3,55
"185","Blade Runner (1982)",4.13818181818182,4.17180616740088,3.97916666666667,5,4,550
