"","names","rating","sex","times"
"3","101 Dalmatians (1996)",3.11627906976744,"F",218
"7","20,000 Leagues Under the Sea (1954)",3.21428571428571,"F",288
"8","2001: A Space Odyssey (1968)",3.49122807017544,"F",1036
"16","Absolute Power (1997)",3.45161290322581,"F",254
"17","Abyss, The (1989)",3.81481481481481,"F",604
"25","Adventures of Priscilla, Queen of the Desert, The (1994)",3.65909090909091,"F",222
"28","African Queen, The (1951)",4,"F",608
"33","Air Force One (1997)",3.69047619047619,"F",862
"36","Akira (1988)",3.125,"F",200
"37","Aladdin (1992)",3.94915254237288,"F",876
"41","Alice in Wonderland (1951)",3.74193548387097,"F",243
"42","Alien (1979)",3.66071428571429,"F",1164
"43","Alien 3 (1992)",2.63636363636364,"F",400
"44","Alien: Resurrection (1997)",2.875,"F",372
"45","Aliens (1986)",3.67272727272727,"F",1136
"51","Amadeus (1984)",4.03896103896104,"F",552
"57","American President, The (1995)",3.74468085106383,"F",492
"83","Annie Hall (1977)",4,"F",360
"88","Apocalypse Now (1979)",3.8974358974359,"F",442
"89","Apollo 13 (1995)",4,"F",828
"93","Apt Pupil (1998)",3.90909090909091,"F",320
"95","Army of Darkness (1993)",3.15384615384615,"F",580
"97","Arrival, The (1996)",3.1,"F",249
"98","Arsenic and Old Lace (1944)",4.22857142857143,"F",345
"99","As Good As It Gets (1997)",4.10714285714286,"F",224
"110","Babe (1995)",4.05,"F",657
"114","Back to the Future (1985)",3.76666666666667,"F",700
"128","Basic Instinct (1992)",3.36363636363636,"F",202
"132","Batman (1989)",3.48780487804878,"F",804
"134","Batman Forever (1995)",3.17391304347826,"F",456
"135","Batman Returns (1992)",2.88,"F",568
"143","Beauty and the Beast (1991)",3.9344262295082,"F",606
"144","Beavis and Butt-head Do America (1996)",2.31034482758621,"F",312
"154","Ben-Hur (1959)",3.4,"F",372
"155","Benny & Joon (1993)",3.43243243243243,"F",204
"179","Birdcage, The (1996)",3.67045454545455,"F",293
"185","Blade Runner (1982)",3.97916666666667,"F",550
"200","Blues Brothers, The (1980)",3.78260869565217,"F",753
"204","Body Snatchers (1993)",2.57142857142857,"F",201
"207","Bonnie and Clyde (1967)",3.96774193548387,"F",244
"210","Boot, Das (1981)",4.1,"F",603
"213","Bound (1996)",3.6,"F",516
"224","Bram Stoker's Dracula (1992)",3.14285714285714,"F",240
"226","Braveheart (1995)",4.12698412698413,"F",891
"227","Brazil (1985)",3.61764705882353,"F",208
"233","Bridge on the River Kwai, The (1957)",3.68571428571429,"F",330
"236","Broken Arrow (1996)",3.21153846153846,"F",508
"250","Butch Cassidy and the Sundance Kid (1969)",3.8695652173913,"F",648
"274","Casablanca (1942)",4.4,"F",729
"289","Chain Reaction (1996)",2.86666666666667,"F",240
"294","Chasing Amy (1997)",3.80281690140845,"F",612
"297","Chinatown (1974)",4.06666666666667,"F",441
"301","Cinderella (1950)",3.86363636363636,"F",387
"302","Cinema Paradiso (1988)",4.12121212121212,"F",363
"313","Clear and Present Danger (1994)",3.57575757575758,"F",537
"315","Client, The (1994)",3.54838709677419,"F",291
"316","Cliffhanger (1993)",3.2,"F",279
"318","Clockwork Orange, A (1971)",3.45238095238095,"F",221
"319","Close Shave, A (1995)",4.63157894736842,"F",336
"328","Con Air (1997)",3.57142857142857,"F",411
"329","Conan the Barbarian (1981)",2.58823529411765,"F",214
"333","Conspiracy Theory (1997)",3.43529411764706,"F",1180
"334","Contact (1997)",3.68613138686131,"F",1018
"338","Cool Hand Luke (1967)",3.62068965517241,"F",328
"340","Cop Land (1997)",3.1219512195122,"F",525
"342","Copycat (1995)",3.77272727272727,"F",258
"346","Courage Under Fire (1996)",3.72881355932203,"F",442
"348","Craft, The (1996)",3.34375,"F",208
"349","Crash (1996)",2.51612903225806,"F",256
"350","Crimson Tide (1995)",3.65217391304348,"F",462
"356","Crow, The (1994)",3.28571428571429,"F",402
"363","Crying Game, The (1992)",3.9375,"F",476
"374","Dances with Wolves (1990)",3.85507246376812,"F",768
"379","Dante's Peak (1997)",3.04109589041096,"F",480
"381","Dave (1993)",3.75,"F",360
"390","Dead Man Walking (1995)",3.92771084337349,"F",299
"391","Dead Poets Society (1989)",3.92307692307692,"F",251
"400","Deer Hunter, The (1978)",3.5,"F",240
"407","Desperado (1995)",3.38461538461538,"F",291
"410","Devil in a Blue Dress (1995)",3,"F",228
"411","Devil's Advocate, The (1997)",3.52830188679245,"F",752
"412","Devil's Own, The (1997)",3.15492957746479,"F",960
"415","Die Hard (1988)",3.72340425531915,"F",486
"416","Die Hard 2 (1990)",3.30769230769231,"F",332
"417","Die Hard: With a Vengeance (1995)",3.15384615384615,"F",302
"422","Diva (1981)",3.26666666666667,"F",330
"424","Don Juan DeMarco (1995)",3.375,"F",228
"426","Donnie Brasco (1997)",3.63888888888889,"F",294
"434","Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)",4.29166666666667,"F",388
"436","Dragonheart (1996)",2.94444444444444,"F",474
"444","Dumbo (1941)",3.65625,"F",369
"447","E.T. the Extra-Terrestrial (1982)",3.83908045977011,"F",1200
"451","Ed Wood (1994)",3.66666666666667,"F",266
"454","Edge, The (1997)",3.20689655172414,"F",226
"456","Emma (1996)",3.8695652173913,"F",354
"457","Empire Strikes Back, The (1980)",3.97802197802198,"F",2202
"461","English Patient, The (1996)",3.80921052631579,"F",1443
"464","Eraser (1996)",3.25,"F",412
"465","Escape from L.A. (1996)",2.8,"F",364
"466","Escape from New York (1981)",2.81818181818182,"F",364
"472","Event Horizon (1997)",2.42307692307692,"F",508
"475","Everyone Says I Love You (1996)",3.26315789473684,"F",504
"476","Evil Dead II (1987)",3.2,"F",356
"477","Evita (1996)",3.06024096385542,"F",518
"479","Executive Decision (1996)",3.5625,"F",314
"485","Face/Off (1997)",3.81632653061224,"F",582
"495","Fantasia (1940)",3.98039215686275,"F",522
"499","Fargo (1996)",4.016,"F",1524
"518","Field of Dreams (1989)",3.81666666666667,"F",212
"520","Fifth Element, The (1997)",3.07894736842105,"F",394
"525","Firm, The (1993)",3.27777777777778,"F",302
"527","First Knight (1995)",3.78260869565217,"F",344
