"","Var1","Freq"
"1","'Til There Was You (1997)",18
"2","1-900 (1994)",5
"3","101 Dalmatians (1996)",218
"4","12 Angry Men (1957)",125
"5","187 (1997)",41
"6","2 Days in the Valley (1996)",93
"7","20,000 Leagues Under the Sea (1954)",288
"8","2001: A Space Odyssey (1968)",1036
"9","3 Ninjas: High Noon At Mega Mountain (1998)",10
"10","39 Steps, The (1935)",59
"11","8 1/2 (1963)",38
"12","8 Heads in a Duffel Bag (1997)",4
"13","8 Seconds (1994)",4
"14","A Chef in Love (1996)",8
"15","Above the Rim (1994)",5
"16","Absolute Power (1997)",254
"17","Abyss, The (1989)",604
"18","Ace Ventura: Pet Detective (1994)",103
"19","Ace Ventura: When Nature Calls (1995)",37
"20","Across the Sea of Time (1995)",4
"21","Addams Family Values (1993)",87
"22","Addicted to Love (1997)",108
"23","Addiction, The (1995)",11
"24","Adventures of Pinocchio, The (1996)",78
"25","Adventures of Priscilla, Queen of the Desert, The (1994)",222
"26","Adventures of Robin Hood, The (1938)",134
"27","Affair to Remember, An (1957)",26
"28","African Queen, The (1951)",608
"29","Afterglow (1997)",36
"30","Age of Innocence, The (1993)",65
"31","Aiqing wansui (1994)",1
"32","Air Bud (1997)",86
"33","Air Force One (1997)",862
"34","Air Up There, The (1994)",16
"35","Airheads (1994)",32
"36","Akira (1988)",200
"37","Aladdin (1992)",876
"38","Aladdin and the King of Thieves (1996)",78
"39","Alaska (1996)",26
"40","Albino Alligator (1996)",12
"41","Alice in Wonderland (1951)",243
"42","Alien (1979)",1164
"43","Alien 3 (1992)",400
"44","Alien: Resurrection (1997)",372
"45","Aliens (1986)",1136
"46","All About Eve (1950)",66
"47","All Dogs Go to Heaven 2 (1996)",45
"48","All Over Me (1997)",3
"49","All Things Fair (1996)",1
"50","Alphaville (1965)",12
"51","Amadeus (1984)",552
"52","Amateur (1994)",54
"53","Amazing Panda Adventure, The (1995)",20
"54","American Buffalo (1996)",11
"55","American Dream (1990)",2
"56","American in Paris, An (1951)",100
"57","American President, The (1995)",492
"58","American Strays (1996)",2
"59","American Werewolf in London, An (1981)",99
"60","Amistad (1997)",124
"61","Amityville 1992: It's About Time (1992)",5
"62","Amityville 3-D (1983)",6
"63","Amityville Curse, The (1990)",4
"64","Amityville Horror, The (1979)",53
"65","Amityville II: The Possession (1982)",14
"66","Amityville: A New Generation (1993)",5
"67","Amityville: Dollhouse (1996)",3
"68","Amos & Andrew (1993)",19
"69","An Unforgettable Summer (1994)",4
"70","Anaconda (1997)",114
"71","Anastasia (1997)",198
