,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
1,"Bu gece √ºst olmasƒ±nƒ± beklediƒüim 2 ma√ß 

#nba #betting #tips #iddaa #bahis #tahmin https://t.co/jVB1AdqmvS",FALSE,0,NA,2/2/18 21:26,FALSE,NA,9.59539E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Bahistahmiin,0,FALSE,FALSE,NA,NA
2,"Ì†ºÌøÄNBA ‚Äòde bu geceÌ†ºÌøÄ
Ì†ΩÌ¥òCharlotte - Indiana
Ì†ΩÌ¥òBoston - Atlanta
Ì†ΩÌ¥òBrooklyn - LA Lakers
Ì†ΩÌ¥òToronto - Portland
Ì†ΩÌ¥òMilwaukee - New‚Ä¶ https://t.co/twIjjYQJka",FALSE,0,NA,2/2/18 21:26,TRUE,NA,9.59539E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",KupaBet,0,FALSE,FALSE,NA,NA
3,"#NBA #FearTheDeer 
UPDATE: Malcolm Brogdon (quad) has been ruled out for Friday's game vs New York.",FALSE,0,NA,2/2/18 21:26,FALSE,NA,9.59539E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",trendengsports,0,FALSE,FALSE,NA,NA
4,#NBA is faaaaantastic https://t.co/tk7jlMmm89,FALSE,0,NA,2/2/18 21:26,FALSE,NA,9.59539E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ACaseOnline,0,FALSE,FALSE,NA,NA
5,"#NBA Top @FanDuel CashÌ†ΩÌ≤∞ Game Plays: 2/2/18 via: @Bruce_Lamb 

https://t.co/JXfjY7TwOU",FALSE,0,NA,2/2/18 21:26,FALSE,NA,9.59539E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ForwardMileNBA,0,FALSE,FALSE,NA,NA
6,"RT @ASidobre: King James est amateur de bon son Ì†ΩÌ∏éÌ†ΩÌ±åÌ†ºÌæ∂Ì†ΩÌ¥•
Migos ¬´¬†Too Playa¬†¬ª
#NBA
#NBAExtraNation https://t.co/6jzihCxyx9",FALSE,0,NA,2/2/18 21:26,FALSE,NA,9.59539E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tw8Chainz,2,TRUE,FALSE,NA,NA
7,"RT @The94FeetReport: #NBA EFG% Leaders as of 2/1:

1. DeAndre Jordan- .665
2. Clint Capela- .658
3. Steven Adams- .635
4. Stephen Curry- .6‚Ä¶",FALSE,0,NA,2/2/18 21:26,FALSE,NA,9.59539E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",OGRafiki__,5,TRUE,FALSE,NA,NA
8,"RT @CullerSports: Greg Monroe will sign with the #Boston‚òòÔ∏è #Celtics, league source tells #ESPN. Per @wojespn #NBA https://t.co/mg8X54EHYa",FALSE,0,NA,2/2/18 21:26,FALSE,NA,9.59538E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",CullerSportsCFB,12,TRUE,FALSE,NA,NA
9,"RT @hawksbet: **** FREE PICKS ****

RETWEET AND I'LL SEND YOU THE PICKS

Follow us!!

#SPORTSBETTING #FREEPICKS #NHL #NBA¬†¬†¬†¬†¬†¬†¬†¬†¬†¬†¬†¬†¬†¬†¬†¬†¬†¬†‚Ä¶",FALSE,0,NA,2/2/18 21:26,FALSE,NA,9.59538E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",rnorberto10,160,TRUE,FALSE,NA,NA
10,"#RumorRoundup: #LeBron #Destinations, and a Run on 3-n-D Wings https://t.co/TVOHjvZmWI @ringer #lebronjames‚Ä¶ https://t.co/BgGkBsNrDI",FALSE,0,NA,2/2/18 21:26,TRUE,NA,9.59538E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",SneakerWonk,0,FALSE,FALSE,NA,NA
