"","words","Freq"
"1","",3179
"2","_dragon",1
"3","@",12
"4","@adonis_dees",2
"5","@aki_hunny",1
"6","@alacontra",1
"7","@All_SportNews",2
"8","@AndreDrummond",2
"9","@ApuestasKronne",1
"10","@ASAP_SportsNews",1
"11","@ASidobre",2
"12","@ATLHawks",1
"13","@Basketball_Show",1
"14","@BasketDVines",6
"15","@bballbreakdown",3
"16","@BF",4
"17","@BlackAndOutside",1
"18","@BrianSwane",1
"19","@Bruce_Lamb",1
"20","@Bucks",2
"21","@camisa_",1
"22","@CBsyndicates",1
"23","@celtics",1
"24","@CharlesOakley",1
"25","@chichongo",1
"26","@coachenew",1
"27","@ColossusBets",2
"28","@CullerSports",2
"29","@DannaHanashiro",1
"30","@DannyBSports",1
"31","@darwindunlap",1
"32","@DavidDunn",2
"33","@dfs_nick",1
"34","@DFSfromDan",1
"35","@diarioas",1
"36","@DiarioOle",1
"37","@don_buster",2
"38","@Double",1
"39","@draftcheat",1
"40","@DraftKings",1
"41","@drgator",1
"42","@efsanebahiscom",1
"43","@ELOSSports",1
"44","@ericsports",7
"45","@espn",1
"46","@ESPN",1
"47","@ESPNNBA",1
"48","@FanDuel",1
"49","@FanduelHoopster",1
"50","@FanRagSports",1
"51","@FantasyDraft",3
"52","@FanViceDFS",1
"53","@five_pronos",1
"54","@FnAshow",1
"55","@followAdamA",1
"56","@ForwardMileNBA",3
"57","@FPDFS",1
"58","@FRSHoopz",1
"59","@Gazzetta_NBA",1
"60","@globatalent",1
"61","@GSSportsTweets",1
"62","@hawksbet",8
"63","@HawksOnFSSE",1
"64","@HipHopWired",1
"65","@hispanosnba",1
"66","@Hoops_Bucks",1
"67","@HoustonRockets",2
"68","@JeffKCollins",1
"69","@jfalagan_NBA",1
"70","@JHarden",1
"71","@JoakimNoah",1
"72","@kareem_thecoach",1
"73","@KareemRush",1
"74","@KingJames",3
"75","@kobebryant",1
"76","@LaNuestraRadio",1
"77","@Larrydn",2
"78","@lukewright",1
"79","@MiamiHEAT",2
"80","@MSGNetworks",1
"81","@NapeTime",1
"82","@NBA",4
"83","@NBA_VAVEL",1
"84","@nbaextra",3
"85","@NBAItalia",1
"86","@NBAJPN",2
"87","@news",1
"88","@NicksSportCards",1
"89","@nyknicks",2
"90","@ochoafacundo",1
"91","@OnTheRotoRadar",16
"92","@OrlandoMagic",1
"93","@otgbasketball",1
"94","@PaniniAmerica",1
"95","@pickoffsports_",1
"96","@playboicarti",1
"97","@PlayDraft",1
"98","@ProCityHoops",1
"99","@RealBillRussell",1
"100","@RequestABet",1
"101","@RotoradarCEO",10
"102","@RotoRadarCEO",7
"103","@russwest",1
"104","@SacramentoKings",1
"105","@SHAQ",1
"106","@ShipMyMoneyDFS",1
"107","@sixers",2
"108","@SkySport",1
"109","@smitchell",3
"110","@SpectrumSN",2
"111","@Sportags",1
"112","@sportsbetaid",1
"113","@SportsOnTheGo",1
"114","@SportsStockInc",1
"115","@spurs",1
"116","@StephensonLance",2
"117","@superboss",1
"118","@teamflightbro",1
"119","@The",1
"120","@the_",1
"121","@thebigmoves",1
"122","@TheSportsDegens",2
"123","@TitosVodka",1
"124","@Topps",1
"125","@TSN",1
"126","@UnibetFrance",1
"127","@USPORTSca",1
"128","@VicOladipo",1
"129","@W",2
"130","@Wapa",2
