"","commonID","commonSN"
"1","14328698","riannone"
"2","215035672","beeonaposy"
"3","26000689","duncanjwatts"
"4","84618490","_ColinFay"
"5","32513057","KLdivergence"
"6","722471022704922624","b23kelly"
"7","2795382582","zkajdan"
"8","14351134","sellorm"
"9","15940287","jonmcalder"
"10","89249164","tdhopper"
"11","40270600","alandipert"
"12","770490229769789440","RLadiesGlobal"
"13","98662718","craragon"
"14","1339518313","DrKariLJordan"
"15","870078805381132288","AchimZeileis"
"16","157459255","BraveTart"
"17","17519986","ChrisNF"
"18","209155608","dalbersszafir"
"19","10414152","laneharrison"
"20","9434762","kanitw"
"21","9527212","arvindsatya1"
"22","17203405","johnstorey"
"23","910392773081104384","RBirdPersons"
"24","18807424","xocasgv"
"25","260399941","gshotwell"
"26","2440258777","kierisi"
"27","3909197654","theotheredgar"
"28","97582853","noamross"
"29","64496701","tanyacash21"
"30","851190308","hnrklndbrg"
"31","29294244","LeeEdward"
"32","2379228428","evelgab"
"33","3199856542","apreshill"
"34","1851554534","LucyStats"
"35","222618390","benmschmidt"
"36","710207495734751232","lorenzwalthert"
"37","707254393","TrestleJeff"
"38","2822907691","RebeccaBilbro"
"39","36241332","mrocklin"
"40","3230388598","dataandme"
"41","44101368","ccgramazio"
"42","4406202856","jtrnyc"
"43","393334207","DavidGohel"
"44","843254021573890048","numbats_rise_up"
"45","36133587","bearloga"
"46","794458165987438592","_R_Foundation"
"47","597868047","robinson_es"
"48","937467860","AngeBassa"
"49","18104734","DynamicWebPaige"
"50","2246300845","csdoctorsister"
"51","2991922598","rlbarter"
"52","55667378","rudeboybert"
"53","4187716153","sharlagelfand"
"54","17773446","pgbovine"
"55","810932119405006848","CoolDatasets"
"56","148518970","edzerpebesma"
"57","3078526120","EmorieBeck"
"58","273200904","seankross"
"59","4103532134","gbwanderson"
"60","14148549","magneticnorth"
"61","1719889968","KKusingR"
"62","765311247189291008","RStudioJoe"
"63","448728024","bwatclon"
"64","190246525","carlystrasser"
"65","493456371","AbeGong"
"66","755135251727331328","HoustonUseRs"
"67","2510885280","jo_hardin47"
"68","166390394","eamcvey"
"69","474823395","alice_data"
"70","13074042","juliasilge"
"71","229564414","minebocek"
"72","2167059661","JennyBryan"
"73","381642287","CVWickham"
"74","17132311","astrobiased"
"75","36551166","damianeads"
"76","161355163","tokialexander"
"77","617243","arfon"
"78","5685812","hrbrmstr"
"79","611597719","thomasp85"
"80","772810470","hafenstats"
"81","3354999513","krlmlr"
"82","324643558","_nicolemargaret"
"83","562303804","heike_hh"
"84","7220752","jbkunst"
"85","1652270612","tamaramunzner"
"86","3987527873","barnicas"
"87","35794978","_lionelhenry"
"88","212982184","matt_dz"
"89","6146692","arnicas"
"90","237254045","treycausey"
"91","41435950","jimhester_"
"92","24083751","TomAugspurger"
"93","3367336625","HeathrTurnr"
"94","551600672","kara_woo"
"95","314708384","stefanbache"
"96","3038315286","millar_karl"
"97","7558612","richierocks"
"98","787219","jmcphers"
"99","10012402","mfenner"
"100","453892183","duffy_ma"
