"","description","statusesCount","followersCount","favoritesCount","friendsCount","url","name","created","protected","verified","screenName","location","lang","id","listedCount","followRequestSent","profileImageUrl"
"22703645","Host of ""Tucker Carlson Tonight"", weeknights at 8 PM ET on @FoxNews. Re-tweets are emphatic endorsements.",3809,1599011,81,100,NA,"Tucker Carlson",2009-03-04 00:03:12,FALSE,TRUE,"TuckerCarlson","Washington, DC","en","22703645",7475,FALSE,"http://pbs.twimg.com/profile_images/796823622450982912/XYcUsJUI_normal.jpg"
"56561449","Co-Host of ""The Five"" & Host of ""Watters' World"" on Fox News Channel",9781,558998,16004,1000,"https://t.co/rlbjtqJwnw","Jesse Watters",2009-07-14 01:23:16,FALSE,TRUE,"JesseBWatters","","en","56561449",2072,FALSE,"http://pbs.twimg.com/profile_images/697123861163192320/6ra0cPIS_normal.jpg"
"471672239","Counselor to the President",7353,2067258,2525,688,NA,"Kellyanne Conway",2012-01-23 04:14:28,FALSE,TRUE,"KellyannePolls","Washington, DC","en","471672239",7763,FALSE,"http://pbs.twimg.com/profile_images/854112636287451138/8S0FsJtV_normal.jpg"
"20733972","President @MichaelBestLaw; Exclusive Speaker @WashSpeakers; Former White House Chief of Staff for @realDonaldTrump; Former @GOP Chairman",10692,952777,26,368,"https://t.co/3Br83IXzX3","Reince Priebus",2009-02-13 00:07:00,FALSE,TRUE,"Reince","Kenosha, WI and Washington, DC","en","20733972",6814,FALSE,"http://pbs.twimg.com/profile_images/588448493892579328/CN351XjP_normal.png"
"322293052","Founder LightWorkers :Produced : The Bible, A.D.,Son of God, Woodlawn, Little Boy & Ben-Hur .Star of TBAA , Author Box of Butterflies https://t.co/Nx1vcKbsex ‚òÄÔ∏è",22713,211510,17627,2209,"https://t.co/yqfa4YiYhn","Roma Downey",2011-06-22 23:14:47,FALSE,TRUE,"RealRomaDowney","California, USA","en","322293052",1366,FALSE,"http://pbs.twimg.com/profile_images/911620755154018306/-3ATCxJb_normal.jpg"
"720293443260456960","The official Twitter page of The @Trump Organization. The most globally recognized brand in luxury real estate, golf, hospitality, and entertainment Ì†ºÌºé",487,299118,3824,50,"https://t.co/2qPo57KgoO","The Trump Organization",2016-04-13 16:51:54,FALSE,TRUE,"Trump","New York, NY","en","720293443260456960",1148,FALSE,"http://pbs.twimg.com/profile_images/875453116333871104/0WX0QPbl_normal.jpg"
"2325495378","The official Twitter page of the most globally recognized brand in luxury golf. We invite you to explore our 19 championship courses worldwide. ‚õ≥Ô∏è",1168,83002,2032,100,"https://t.co/ETgReKX0A4","Trump Golf",2014-02-03 13:46:03,FALSE,TRUE,"TrumpGolf","","en","2325495378",374,FALSE,"http://pbs.twimg.com/profile_images/912398980486713346/aKrW--HR_normal.jpg"
"245963716","",695,482961,61,113,"https://t.co/JlfqGFDPVw","Tiffany Ariana Trump",2011-02-01 20:59:30,FALSE,TRUE,"TiffanyATrump","","en","245963716",1414,FALSE,"http://pbs.twimg.com/profile_images/788246962525073408/WD7FUVSz_normal.jpg"
"50769180","Mom, author, TV & Radio Host, The Ingraham Angle 10p ET Fox News, The Laura Ingraham Show, 9 to Noon ET https://t.co/Wu93dyjL6t. Retweets do not = Endorsements",32922,2053211,381,340,"https://t.co/lnkE5EsSNQ","Laura Ingraham",2009-06-25 21:03:25,FALSE,TRUE,"IngrahamAngle","DC","en","50769180",11206,FALSE,"http://pbs.twimg.com/profile_images/926303888365510656/IHt-GEhl_normal.jpg"
"22203756","Vice President of the United States",5333,2878458,738,1189,"https://t.co/mZB2hymxC9","Mike Pence",2009-02-27 23:04:51,FALSE,TRUE,"mike_pence","","en","22203756",7475,FALSE,"http://pbs.twimg.com/profile_images/817805976262811648/pP-XV5Sm_normal.jpg"
"14669951","The DRUDGE REPORT is a U.S. based news aggregation website run by Matt Drudge(@DRUDGE).",212318,1343354,0,2,"http://t.co/dsLXEBfDsQ","DRUDGE REPORT",2008-05-06 05:34:47,FALSE,FALSE,"DRUDGE_REPORT","US","en","14669951",21411,FALSE,"http://pbs.twimg.com/profile_images/53808884/images_normal.jpeg"
"475802156","I'm a Mother of 5 amazing kids. My children are my life!",2246,255245,1299,150,NA,"Vanessa Trump",2012-01-27 13:10:13,FALSE,TRUE,"MrsVanessaTrump","","en","475802156",812,FALSE,"http://pbs.twimg.com/profile_images/798192933832900608/yD2n8XCU_normal.jpg"
"75541946","NC girl in NYC #MAGA",2983,360159,4664,436,"https://t.co/XjVAWvUQuR","Lara Trump",2009-09-19 12:49:26,FALSE,TRUE,"LaraLeaTrump","New York City","en","75541946",1377,FALSE,"http://pbs.twimg.com/profile_images/794614331434475520/qIwmY0Aj_normal.jpg"
"41634520","TV Host Fox News Channel 9 PM EST. Nationally Syndicated Radio Host 3-6 PM EST. https://t.co/z23FRgA02S Retweets, Follows NOT endorsements! Due to hackings, no DM‚Äôs!",37276,3397340,115,7482,"https://t.co/gEpXK0qpWl","Sean Hannity",2009-05-21 17:41:12,FALSE,TRUE,"seanhannity","NYC","en","41634520",17861,FALSE,"http://pbs.twimg.com/profile_images/378800000709183776/6273b31aa1836ac86426478aaa82a597_normal.jpeg"
"37764422","Join the community that believes in the American dream.",76614,422040,398,483,"http://t.co/3JIKguw0Ue","Fox Nation",2009-05-04 21:25:22,FALSE,TRUE,"foxnation","","en","37764422",4412,FALSE,"http://pbs.twimg.com/profile_images/1272378281/wp-foxnewsheadlines_normal.jpg"
"4121225056","TV Commentator, Former Campaign Manager Donald J. Trump, NYTimes Best Selling Author: Let Trump Be Trump! speeches at: https://t.co/loU3Kzegvq",1530,327996,131,50,"https://t.co/mZB2hy4Wdz","Corey R. Lewandowski",2015-11-05 18:19:17,FALSE,TRUE,"CLewandowski_","Washington, DC","en","4121225056",2088,FALSE,"http://pbs.twimg.com/profile_images/890211594931773441/YxUEYlPN_normal.jpg"
"196168350","Author - follow me on #Facebook! https://t.co/i7VTQ5btPI",32118,1894092,16,861,"http://t.co/yOTZER5hRn","Ann Coulter",2010-09-28 14:04:51,FALSE,TRUE,"AnnCoulter","Los Angeles/NYC","en","196168350",12765,FALSE,"http://pbs.twimg.com/profile_images/598204767739981825/iD1DZBbS_normal.jpg"
"2908170952","President Donald J Trump's Most Outspoken & Loyal Supporters. 
Host of D&S Chit Chat Live.
Vloggers, Public Figures & Speakers. Internet, Radio & TV Personality",5487,545947,1945,45,"https://t.co/xdbTGlyGDv","Diamond and Silk¬Æ",2014-12-06 18:49:06,FALSE,TRUE,"DiamondandSilk","United States","en","2908170952",1932,FALSE,"http://pbs.twimg.com/profile_images/948379874481369088/5Yw3KSLU_normal.jpg"
"34852681","Real Estate Mogul/TV Personality over $850 Million SOLD! 1st Season: Trump‚Äôs ‚ÄúThe Apprentice‚Äù + E! Hot Listings Miami + Fox News + Donald Trump's Surrogate",13458,309776,1811,1936,"https://t.co/y2V88nky3g","KATRINA CAMPINS",2009-04-24 04:57:12,FALSE,TRUE,"KatrinaCampins","Peace Within","en","34852681",957,FALSE,"http://pbs.twimg.com/profile_images/593188371251351552/w3uExsqi_normal.jpg"
"25429371","Sr. Advisor/Natl Spox | 2016 Campaign Spox @realdonaldtrump aka @POTUS #MAGA @americafirstpol @americafirstPAC SnapID: snapKatPierson1 &Inventor DAL ‚úàÔ∏è DCA Ì†ºÌ∑∫Ì†ºÌ∑∏",40940,378277,5825,2265,"https://t.co/pvs5wP8FBp","Katrina Pierson",2009-03-20 01:25:06,FALSE,TRUE,"KatrinaPierson","Washington, DC","en","25429371",2784,FALSE,"http://pbs.twimg.com/profile_images/960020951600689152/lG_iKqHD_normal.jpg"
"52136185","Personal attorney to President Donald J. Trump",9324,298815,7994,124,NA,"Michael Cohen",2009-06-29 18:11:49,FALSE,TRUE,"MichaelCohen212","New York","en","52136185",1661,FALSE,"http://pbs.twimg.com/profile_images/642687696473882624/jHvVFZYt_normal.jpg"
"15513604","America's #1 cable morning news show",78944,1136933,5412,1560,"https://t.co/xg790NQUNl","FOX & friends",2008-07-21 10:50:09,FALSE,TRUE,"foxandfriends","New York City","en","15513604",7838,FALSE,"http://pbs.twimg.com/profile_images/952249840884383744/8Xp95_Ip_normal.jpg"
"108471631","The official profile for Melania Trump",1394,948424,2,55,NA,"MELANIA TRUMP",2010-01-26 01:48:43,FALSE,TRUE,"MELANIATRUMP","New York City","en","108471631",3093,FALSE,"http://pbs.twimg.com/profile_images/726781589192069126/zg456hZZ_normal.jpg"
